epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1935,2.0221,4.33607,1.25331,0.00465,0.73202,0.00634,0.00252,1.45359,3.95149,0.9158,0.00026672,0.00026672,0.00026672
2,34.9892,1.68697,2.33456,1.05377,0.00182,0.31473,0.00151,0.00055,1.458,3.93871,0.95927,0.000544664,0.000544664,0.000544664
3,46.584,1.56904,1.82743,1.06125,0.00251,0.42472,0.00477,0.00176,1.49827,3.81879,0.9873,0.000816997,0.000816997,0.000816997
4,58.2013,1.4713,1.56219,1.0551,0.0022,0.36899,0.00867,0.00382,1.29786,3.53648,0.93197,0.00108372,0.00108372,0.00108372
5,69.3464,1.47226,1.48977,1.03684,0.0051,0.78408,0.36005,0.21005,1.47433,2.99165,0.98023,0.00134483,0.00134483,0.00134483
6,80.1086,1.40549,1.34505,1.05817,0.81218,0.07018,0.57789,0.2799,1.60608,2.56655,1.08273,0.00158448,0.00158448,0.00158448
7,91.4987,1.39909,1.3249,1.0425,0.1359,0.74234,0.40453,0.17255,2.73172,3.40109,1.70122,0.00156798,0.00156798,0.00156798
8,103.129,1.42385,1.24429,1.0411,0.7692,0.84065,0.91969,0.48387,1.33739,1.27158,0.95338,0.00155148,0.00155148,0.00155148
9,114.624,1.3501,1.12664,1.03127,0.88587,0.87706,0.9569,0.5803,1.29654,0.94066,0.98114,0.00153497,0.00153497,0.00153497
10,124.998,1.3851,1.10722,1.0325,0.8773,0.90825,0.97082,0.60486,1.15248,1.01763,0.89061,0.00151847,0.00151847,0.00151847
11,135.128,1.40002,1.09682,1.02422,0.79306,0.85477,0.92187,0.64221,1.08913,0.92312,0.88649,0.00150197,0.00150197,0.00150197
12,145.133,1.33912,1.04097,1.02016,0.88043,0.92563,0.969,0.62571,1.09441,0.80121,0.88318,0.00148546,0.00148546,0.00148546
13,155.082,1.29119,0.95453,1.02028,0.96771,0.97004,0.98204,0.57952,1.20152,0.85557,0.91935,0.00146896,0.00146896,0.00146896
14,165.149,1.28593,0.92911,1.00905,0.60878,0.80267,0.83762,0.58065,0.97149,0.87105,0.86915,0.00145246,0.00145246,0.00145246
15,175.274,1.25786,0.89902,0.99448,0.58548,0.74355,0.90909,0.59255,1.09754,1.0045,0.87721,0.00143595,0.00143595,0.00143595
16,185.382,1.28704,0.88459,1.00181,0.78372,0.82228,0.90892,0.56814,1.23707,1.16925,0.90823,0.00141945,0.00141945,0.00141945
17,195.381,1.31291,0.9179,1.00427,0.93373,0.94356,0.98263,0.71838,1.04463,0.73711,0.88926,0.00140295,0.00140295,0.00140295
18,205.327,1.2569,0.87837,0.99602,0.97873,0.95707,0.98787,0.64132,1.17155,0.80306,0.90583,0.00138644,0.00138644,0.00138644
19,215.362,1.21669,0.83774,0.97991,0.98067,0.95332,0.98792,0.65458,1.17231,0.658,0.9075,0.00136994,0.00136994,0.00136994
20,225.374,1.24549,0.8494,0.99729,0.99555,0.96543,0.99161,0.66321,1.12803,0.75962,0.89572,0.00135344,0.00135344,0.00135344
21,235.224,1.2241,0.8483,0.99792,0.97504,0.96661,0.99007,0.64,1.23078,0.73788,0.91824,0.00133693,0.00133693,0.00133693
22,245.239,1.27437,0.83944,1.00431,0.937,0.93517,0.98341,0.68562,1.0566,0.68974,0.88861,0.00132043,0.00132043,0.00132043
23,255.043,1.23249,0.7961,0.98927,0.99179,0.97104,0.98936,0.67402,1.0481,0.70858,0.87352,0.00130393,0.00130393,0.00130393
24,265.052,1.20147,0.76818,0.98463,0.97282,0.97011,0.98607,0.75523,0.86706,0.67904,0.83885,0.00128742,0.00128742,0.00128742
25,274.996,1.22084,0.79036,0.98587,0.99858,0.97233,0.99209,0.67795,1.16556,0.63581,0.90325,0.00127092,0.00127092,0.00127092
26,284.713,1.17919,0.77233,0.96956,0.99533,0.93461,0.98622,0.74175,0.92058,0.61399,0.85036,0.00125442,0.00125442,0.00125442
27,295.059,1.20175,0.77231,0.97874,0.97181,0.95938,0.99112,0.73777,0.88816,0.7421,0.85575,0.00123791,0.00123791,0.00123791
28,305.677,1.16269,0.77471,0.97905,0.96056,0.95904,0.99154,0.71895,1.07973,0.68978,0.88266,0.00122141,0.00122141,0.00122141
29,316.324,1.2005,0.77085,0.97999,0.98909,0.97999,0.99315,0.64562,1.24406,0.72068,0.90067,0.00120491,0.00120491,0.00120491
30,326.397,1.17866,0.75633,0.9677,0.98288,0.97732,0.9919,0.72445,0.95772,0.63295,0.85349,0.0011884,0.0011884,0.0011884
31,336.317,1.14482,0.77159,0.97192,0.98309,0.97336,0.99289,0.6755,0.98827,0.65256,0.85796,0.0011719,0.0011719,0.0011719
32,345.909,1.16312,0.73179,0.97736,0.98772,0.97954,0.99184,0.63945,1.17972,0.76933,0.89329,0.0011554,0.0011554,0.0011554
33,355.968,1.15016,0.73668,0.95995,0.99147,0.97757,0.99318,0.68318,1.19663,0.72257,0.90443,0.00113889,0.00113889,0.00113889
34,365.982,1.165,0.72106,0.97393,0.98678,0.96788,0.99072,0.7207,0.97653,0.62483,0.85396,0.00112239,0.00112239,0.00112239
35,376.039,1.17576,0.7296,0.96443,0.99447,0.96148,0.99038,0.72893,0.96317,0.60917,0.84869,0.00110589,0.00110589,0.00110589
36,386.751,1.12723,0.68684,0.95698,0.98789,0.9832,0.99242,0.72929,0.98508,0.61218,0.86091,0.00108938,0.00108938,0.00108938
37,397.159,1.13706,0.70657,0.985,0.9866,0.98292,0.99275,0.71579,0.9971,0.57887,0.87152,0.00107288,0.00107288,0.00107288
38,407.094,1.14857,0.72472,0.96567,0.98016,0.98079,0.99258,0.68033,1.19878,0.64807,0.91007,0.00105638,0.00105638,0.00105638
39,418.744,1.15758,0.72364,0.96242,0.9798,0.98517,0.99416,0.65833,1.20801,0.67989,0.90445,0.00103987,0.00103987,0.00103987
40,434.694,1.10897,0.70672,0.95799,0.99336,0.97695,0.99258,0.63845,1.2142,0.59636,0.87604,0.00102337,0.00102337,0.00102337
41,451.439,1.14134,0.69531,0.96792,0.98906,0.97802,0.99163,0.78472,0.77023,0.53969,0.8165,0.00100687,0.00100687,0.00100687
42,463.247,1.10215,0.67774,0.95868,0.99614,0.97835,0.99385,0.68028,1.04687,0.61589,0.86922,0.000990365,0.000990365,0.000990365
