epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.82973,1.46254,3.87063,1.21722,0.00681,0.97,0.02287,0.014,0.86704,3.42191,0.7973,0.00010002,0.00010002,0.00010002
2,8.91512,1.21955,3.26399,1.05303,0.00678,1,0.39967,0.27207,0.66597,3.18767,0.72056,0.000214565,0.000214565,0.000214565
3,13.02,0.92509,1.68882,0.91051,0.00696,0.99833,0.5239,0.24565,0.65878,3.1883,0.71155,0.000326799,0.000326799,0.000326799
4,17.1172,0.83441,1.06871,0.90284,0.00719,1,0.48061,0.11266,0.72108,3.19667,0.72457,0.000436722,0.000436722,0.000436722
5,21.2551,0.78811,0.9355,0.89999,0.00679,1,0.02262,0.01972,0.57671,3.11089,0.69353,0.000544336,0.000544336,0.000544336
6,25.4527,0.69694,0.83142,0.8616,0.00675,1,0.05277,0.04685,0.549,3.0742,0.68864,0.000649638,0.000649638,0.000649638
7,29.7558,0.70462,0.78235,0.86347,0.00685,1,0.57059,0.48855,0.59204,2.92638,0.70114,0.00075263,0.00075263,0.00075263
8,34.0222,0.70365,0.7558,0.86245,0.00747,1,0.73429,0.64659,0.55995,2.94766,0.70628,0.000853312,0.000853312,0.000853312
9,38.0748,0.67537,0.72029,0.86659,0.00699,1,0.96062,0.82419,0.53967,2.79954,0.72232,0.000951684,0.000951684,0.000951684
10,42.3941,0.66444,0.69997,0.85996,0.0069,1,0.995,0.8205,0.61138,2.62891,0.74869,0.00104774,0.00104774,0.00104774
11,46.6237,0.67515,0.68062,0.85994,0.0067,1,0.98547,0.81612,0.60702,2.53715,0.76111,0.00114149,0.00114149,0.00114149
12,50.7501,0.6542,0.68453,0.8555,1,0.15351,0.99296,0.85403,0.55128,2.37138,0.76078,0.00123293,0.00123293,0.00123293
13,55.0214,0.66377,0.66115,0.85969,1,0.26294,0.99376,0.85173,0.57157,2.0338,0.77023,0.00132206,0.00132206,0.00132206
14,59.5108,0.64692,0.63186,0.85687,0.99726,0.53869,0.99279,0.83758,0.65774,1.97702,0.78802,0.00140888,0.00140888,0.00140888
