epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5051,1.52316,0.73423,1.05154,0.01301,0.11181,0.00755,0.00211,1.7921,0.70077,1.31906,0.000546984,0.000546984,0.000546984
2,27.496,0.97981,0.71766,0.83458,0.53305,0.18985,0.42564,0.24113,1.89801,0.55568,1.04025,0.00109173,0.00109173,0.00109173
3,42.4319,0.92481,0.55436,0.77959,0.47848,0.367,0.44511,0.19724,1.86779,0.58957,1.33868,0.00162548,0.00162548,0.00162548
4,62.3302,0.88731,0.55323,0.77387,0.62473,0.35048,0.50039,0.22276,1.70026,0.50975,1.54181,0.00161749,0.00161749,0.00161749
5,82.5584,0.87342,0.50729,0.73114,0.47103,0.48685,0.47095,0.23009,1.5175,0.5103,1.32436,0.00160099,0.00160099,0.00160099
6,107.071,0.84553,0.48597,0.72273,0.51165,0.45988,0.5011,0.23712,1.66589,0.48466,1.07931,0.00158448,0.00158448,0.00158448
7,136.563,0.75986,0.47394,0.70487,0.47646,0.48523,0.48292,0.26684,1.77832,0.5242,1.24593,0.00156798,0.00156798,0.00156798
8,155.33,0.71039,0.44733,0.66301,0.49145,0.47026,0.486,0.26736,1.78686,0.4977,1.25892,0.00155148,0.00155148,0.00155148
9,172.643,0.69168,0.43393,0.65173,0.83526,0.5334,0.56166,0.31914,1.59481,0.44646,1.228,0.00153497,0.00153497,0.00153497
10,200.987,0.66945,0.40564,0.63409,0.97911,0.47137,0.55523,0.32912,1.3762,0.46529,1.13887,0.00151847,0.00151847,0.00151847
11,278.151,0.64606,0.4088,0.6256,0.77892,0.50633,0.55748,0.33034,1.46563,0.48134,1.31619,0.00150197,0.00150197,0.00150197
12,294.131,0.66319,0.38191,0.63471,0.70764,0.50844,0.55019,0.27744,1.34655,0.51382,1.32495,0.00148546,0.00148546,0.00148546
13,314.115,0.66325,0.38533,0.64322,0.73267,0.45589,0.49995,0.24544,1.3474,0.54082,1.27111,0.00146896,0.00146896,0.00146896
14,327.031,0.58002,0.39931,0.62373,0.70986,0.49649,0.54077,0.23848,1.72325,0.50115,1.28179,0.00145246,0.00145246,0.00145246
15,337.398,0.60351,0.36333,0.61099,0.76462,0.49122,0.54507,0.31434,1.2428,0.51188,1.29266,0.00143595,0.00143595,0.00143595
16,347.329,0.61734,0.34628,0.61444,0.64573,0.50389,0.55415,0.31873,1.40009,0.53705,1.35838,0.00141945,0.00141945,0.00141945
17,356.877,0.62868,0.34336,0.62023,0.74841,0.53264,0.55366,0.29555,1.5157,0.48989,1.27995,0.00140295,0.00140295,0.00140295
18,365.398,0.61788,0.33264,0.62203,0.6153,0.50633,0.53945,0.3097,1.58605,0.4785,1.16958,0.00138644,0.00138644,0.00138644
19,374.347,0.58691,0.3042,0.60739,0.78192,0.52532,0.56184,0.28117,1.43013,0.52098,1.25759,0.00136994,0.00136994,0.00136994
20,383.112,0.61792,0.29378,0.62359,0.76072,0.47032,0.54884,0.35139,1.43535,0.53366,1.25831,0.00135344,0.00135344,0.00135344
21,392.417,0.57784,0.30683,0.62293,0.71789,0.52801,0.57111,0.3461,1.34853,0.53199,1.07451,0.00133693,0.00133693,0.00133693
22,401.049,0.52907,0.27837,0.59957,0.67443,0.51302,0.57177,0.35977,1.56443,0.55062,1.22326,0.00132043,0.00132043,0.00132043
23,409.796,0.51213,0.23399,0.59088,0.50508,0.53698,0.55969,0.34951,1.43349,0.67399,1.10527,0.00130393,0.00130393,0.00130393
24,418.826,0.51826,0.23294,0.58276,0.53249,0.51624,0.53211,0.3563,1.31561,0.59751,1.07688,0.00128742,0.00128742,0.00128742
25,428.203,0.51744,0.23108,0.59244,0.75832,0.45973,0.55759,0.34081,1.57846,0.59085,1.18817,0.00127092,0.00127092,0.00127092
26,436.54,0.52652,0.23783,0.60047,0.85674,0.53392,0.58123,0.36031,1.54969,0.57378,1.32335,0.00125442,0.00125442,0.00125442
27,446.409,0.51773,0.22279,0.60558,0.56065,0.53409,0.56817,0.33226,1.42686,0.61197,1.38299,0.00123791,0.00123791,0.00123791
28,456.807,0.56548,0.23472,0.61149,0.60824,0.55222,0.57903,0.37631,1.30045,0.49243,1.10888,0.00122141,0.00122141,0.00122141
29,465.044,0.52501,0.20802,0.59396,0.62418,0.60549,0.58977,0.369,1.39121,0.48066,1.0933,0.00120491,0.00120491,0.00120491
30,474.598,0.50943,0.19238,0.59788,0.50744,0.57693,0.55832,0.36284,1.35423,0.48041,0.98004,0.0011884,0.0011884,0.0011884
31,484.304,0.53335,0.18064,0.59113,0.50695,0.55485,0.56819,0.33208,1.73528,0.59507,1.1846,0.0011719,0.0011719,0.0011719
32,493.699,0.53955,0.18308,0.59411,0.61387,0.4289,0.5567,0.35634,1.48793,0.54556,1.04663,0.0011554,0.0011554,0.0011554
33,502.17,0.49417,0.1646,0.5851,0.68765,0.47851,0.56092,0.34463,1.4461,0.53953,1.06128,0.00113889,0.00113889,0.00113889
34,511.127,0.45414,0.16163,0.59147,0.52472,0.6097,0.56059,0.34255,1.39478,0.54779,1.17642,0.00112239,0.00112239,0.00112239
35,520.924,0.46753,0.14899,0.57841,0.6703,0.5,0.57053,0.31914,1.52176,0.62795,1.22154,0.00110589,0.00110589,0.00110589
36,531.268,0.48992,0.16498,0.59643,0.49889,0.55485,0.53157,0.31818,1.4837,0.62678,1.15165,0.00108938,0.00108938,0.00108938
37,539.534,0.51038,0.15629,0.5894,0.49398,0.55274,0.54357,0.28395,1.45136,0.54062,1.09695,0.00107288,0.00107288,0.00107288
38,548.436,0.47052,0.13505,0.58478,0.51007,0.5654,0.54673,0.31178,1.43669,0.45029,1.04318,0.00105638,0.00105638,0.00105638
39,557.155,0.4783,0.12419,0.58099,0.55034,0.6519,0.57056,0.30131,1.52235,0.42606,1.07595,0.00103987,0.00103987,0.00103987
40,567.659,0.49275,0.12489,0.579,0.49426,0.58458,0.52435,0.31453,1.24824,0.45287,1.04701,0.00102337,0.00102337,0.00102337
41,576.26,0.50056,0.12903,0.58115,0.51346,0.62897,0.54329,0.32421,1.29596,0.3817,0.87513,0.00100687,0.00100687,0.00100687
42,585.412,0.45988,0.11661,0.57562,0.53843,0.59283,0.5687,0.3782,1.34585,0.35447,0.9969,0.000990365,0.000990365,0.000990365
43,593.805,0.47317,0.1287,0.57652,0.48804,0.53964,0.53148,0.32752,1.57181,0.5345,1.09835,0.000973861,0.000973861,0.000973861
44,604.35,0.43175,0.1206,0.57178,0.48505,0.56225,0.52429,0.33887,1.44254,0.61127,1.14393,0.000957358,0.000957358,0.000957358
45,612.802,0.42497,0.1418,0.57149,0.62562,0.71875,0.71695,0.45722,1.23512,0.31851,1.03884,0.000940855,0.000940855,0.000940855
46,621.869,0.41375,0.11516,0.57458,0.53564,0.53609,0.55928,0.39099,1.48761,0.53204,1.59366,0.000924352,0.000924352,0.000924352
47,630.007,0.40628,0.11207,0.57596,0.50202,0.55671,0.56169,0.38175,1.53322,0.52837,1.1682,0.000907848,0.000907848,0.000907848
48,640.717,0.41651,0.10798,0.57916,0.5067,0.5443,0.57164,0.383,1.5572,0.56175,1.24453,0.000891345,0.000891345,0.000891345
49,649.549,0.43293,0.1034,0.56956,0.50426,0.54885,0.57084,0.37636,1.43312,0.50746,1.12417,0.000874842,0.000874842,0.000874842
50,658.21,0.41719,0.10066,0.57065,0.50963,0.54857,0.52827,0.36146,1.43099,0.61908,1.18661,0.000858338,0.000858338,0.000858338
51,666.201,0.39774,0.09622,0.56056,0.50442,0.53797,0.5627,0.37293,1.42032,0.56049,1.07299,0.000841835,0.000841835,0.000841835
52,676.445,0.40598,0.0966,0.55694,0.49757,0.52875,0.55552,0.39787,1.27406,0.51474,1.1923,0.000825332,0.000825332,0.000825332
53,685.503,0.38836,0.09222,0.55731,0.51285,0.55818,0.56223,0.37079,1.39866,0.44683,0.99574,0.000808828,0.000808828,0.000808828
54,695.006,0.35729,0.09018,0.55574,0.51318,0.54731,0.56787,0.40722,1.32988,0.48219,1.19451,0.000792325,0.000792325,0.000792325
55,703.051,0.3641,0.08939,0.55476,0.57525,0.63195,0.60836,0.39676,1.29226,0.39662,1.05137,0.000775822,0.000775822,0.000775822
56,711.891,0.36648,0.08792,0.56061,0.5036,0.55293,0.58562,0.41942,1.26486,0.42431,1.17785,0.000759318,0.000759318,0.000759318
57,721.265,0.35691,0.08627,0.55718,0.51845,0.63555,0.59105,0.4062,1.17864,0.40424,0.94967,0.000742815,0.000742815,0.000742815
58,731.059,0.34375,0.08316,0.55577,0.52846,0.6308,0.5828,0.41697,1.20276,0.40433,1.0638,0.000726312,0.000726312,0.000726312
59,739.405,0.33648,0.08,0.55335,0.51513,0.55667,0.58605,0.40509,1.2436,0.4541,0.89293,0.000709809,0.000709809,0.000709809
60,748.658,0.33876,0.08283,0.55403,0.50035,0.55907,0.56771,0.40347,1.22519,0.51136,1.08788,0.000693305,0.000693305,0.000693305
61,757.758,0.34997,0.08076,0.55446,0.50529,0.55696,0.5716,0.39518,1.32135,0.47642,0.91336,0.000676802,0.000676802,0.000676802
62,766.874,0.33818,0.08136,0.55173,0.5131,0.54942,0.57824,0.43444,1.15021,0.47461,1.08106,0.000660299,0.000660299,0.000660299
63,775.376,0.32139,0.07779,0.5507,0.51354,0.57493,0.5768,0.42605,1.31043,0.40576,0.89895,0.000643795,0.000643795,0.000643795
64,785.791,0.32998,0.07751,0.55202,0.51637,0.55907,0.57774,0.43569,1.18297,0.44965,1.01576,0.000627292,0.000627292,0.000627292
65,795.066,0.31964,0.07764,0.55187,0.5029,0.5865,0.5865,0.41064,1.19373,0.42508,0.88133,0.000610789,0.000610789,0.000610789
66,805.642,0.30431,0.07608,0.54564,0.49484,0.54872,0.57493,0.41135,1.29109,0.44549,1.03674,0.000594286,0.000594286,0.000594286
67,814.938,0.30603,0.07384,0.55086,0.50151,0.55063,0.58314,0.41709,1.23235,0.44043,0.85543,0.000577782,0.000577782,0.000577782
68,824.486,0.30902,0.07468,0.54551,0.49849,0.57926,0.60232,0.43476,1.14801,0.37264,0.91357,0.000561279,0.000561279,0.000561279
69,833.941,0.32352,0.07339,0.55108,0.50046,0.55907,0.58637,0.3926,1.25491,0.39797,0.85956,0.000544776,0.000544776,0.000544776
70,843.342,0.31242,0.07326,0.54633,0.57715,0.70452,0.63164,0.44035,1.05514,0.31558,0.83585,0.000528272,0.000528272,0.000528272
71,852.271,0.3341,0.07698,0.5477,0.51661,0.54574,0.57797,0.40829,1.20904,0.4142,0.84919,0.000511769,0.000511769,0.000511769
72,861.451,0.31109,0.07144,0.5427,0.50924,0.57795,0.58425,0.42303,1.1236,0.33936,0.80105,0.000495266,0.000495266,0.000495266
73,870.537,0.35944,0.0757,0.54519,0.48976,0.54518,0.57449,0.39156,1.26552,0.4544,0.87602,0.000478762,0.000478762,0.000478762
74,879.752,0.31718,0.07193,0.54266,0.49225,0.55086,0.57676,0.42522,1.1729,0.40985,0.79987,0.000462259,0.000462259,0.000462259
75,888.764,0.31125,0.07164,0.54335,0.5011,0.52633,0.57539,0.39336,1.22087,0.45048,0.94084,0.000445756,0.000445756,0.000445756
76,898.145,0.32526,0.07217,0.54385,0.50931,0.55186,0.56922,0.41667,1.17355,0.39685,0.80276,0.000429253,0.000429253,0.000429253
77,907.118,0.29533,0.06845,0.54093,0.50606,0.52579,0.56476,0.40031,1.2639,0.48489,0.91409,0.000412749,0.000412749,0.000412749
